Preis_in_Euro,Kilometerstand_in_km,Hubraum_in_cm3,Leistung_in_PS,Kraftstoffart,Getriebe,Erstzulassung,HU
16979         , 51900                , 1598           , 110            , Diesel        , Schaltgetriebe , Okt14         , Neu
10950         , 125000               , 1968           , 140            , Diesel        , Schaltgetriebe , Jan13         , Neu
11500         , 89500                , 1598           , 105            , Diesel        , Schaltgetriebe , Nov13         , Nov18
16200         , 59600                , 1395           , 140            , Benzin        , Schaltgetriebe , Aug13         , Okt18
2300          , 290000               , 1896           , 101            , Diesel        , Automatik      , Jul02         , Mrz19
34750         , 20945                , 1984           , 230            , Benzin        , Automatik      , Mai16         , Neu
19480         , 3889                 , 1197           , 110            , Benzin        , Schaltgetriebe , Sep16         , Neu
15390         , 68175                , 1968           , 170            , Diesel        , Schaltgetriebe , Okt12         , Neu
18480         , 24951                , 1968           , 150            , Diesel        , Schaltgetriebe , Sep16         , Neu
150           , 178000               , 1391           , 60             , Benzin        , Schaltgetriebe , Sep94         , Jul13
3200          , 179000               , 1968           , 140            , Diesel        , Schaltgetriebe , Apr06         , Mai19
179           , 176835               , 1598           , 75             , Benzin        , Schaltgetriebe , Dez94         , Nov17
750           , 241638               , 1390           , 75             , Benzin        , Schaltgetriebe , Nov99         , Nov18
6900          , 133789               , 1598           , 116            , Benzin        , Automatik      , Sep06         , Nov17
190           , 136000               , 1391           , 60             , Benzin        , Schaltgetriebe , Nov93         , Apr16
9940          , 73500                , 1598           , 105            , Diesel        , Schaltgetriebe , Apr12         , Mrz18
7690          , 82000                , 1390           , 80             , Benzin        , Schaltgetriebe , Okt09         , Neu
998           , 102794               , 1781           , 75             , Benzin        , Automatik      , Jun92         , Jun18
1988          , 231081               , 1576           , 69             , Benzin        , Automatik      , Nov90         , Nov17
10490         , 174560               , 1968           , 150            , Diesel        , Schaltgetriebe , Sep13         , Sep18
12499         , 43020                , 1968           , 140            , Diesel        , Schaltgetriebe , Jul11         , Aug18
12970         , 34261                , 1197           , 105            , Benzin        , Schaltgetriebe , Jun11         , Neu
5499          , 168046               , 1390           , 80             , Benzin        , Schaltgetriebe , Aug09         , Mai18
950           , 237000               , 1390           , 75             , Benzin        , Schaltgetriebe , Okt99         , Dez18
18490         , 7350                 , 1598           , 110            , Diesel        , Schaltgetriebe , Sep16         , Sep19
17490         , 2750                 , 1197           , 86             , Benzin        , Schaltgetriebe , Okt16         , Okt19
2700          , 153000               , 1595           , 101            , Benzin        , Schaltgetriebe , Mai99         , Apr18
27990         , 8700                 , 1968           , 150            , Diesel        , Schaltgetriebe , Nov16         , Neu
3390          , 193500               , 1968           , 170            , Diesel        , Schaltgetriebe , Jan07         , Sep19
1990          , 298453               , 1896           , 90             , Diesel        , Schaltgetriebe , Okt97         , Mrz19
2450          , 229000               , 1390           , 75             , Benzin        , Schaltgetriebe , Mrz04         , Mrz19
6900          , 116000               , 1896           , 105            , Diesel        , Schaltgetriebe , Mai09         , Neu
990           , 116000               , 1598           , 75             , Benzin        , Schaltgetriebe , Mai95         , Mai18
2750          , 187000               , 1390           , 75             , Benzin        , Schaltgetriebe , Mrz03         , Sep18
8950          , 79000                , 1598           , 105            , Diesel        , Schaltgetriebe , Apr11         , Sep18
2980          , 160000               , 1598           , 110            , Benzin        , Schaltgetriebe , Aug02         , Neu
6990          , 144000               , 1896           , 105            , Diesel        , Schaltgetriebe , Jun08         , Jun19
13900         , 13600                , 1197           , 86             , Benzin        , Schaltgetriebe , Feb16         , Feb19
22750         , 35500                , 1984           , 220            , Benzin        , Automatik      , Jan15         , Jan18
9500          , 103000               , 1598           , 105            , Diesel        , Schaltgetriebe , Sep11         , Jul18
22590         , 16254                , 1395           , 125            , Benzin        , Automatik      , Mrz17         , Neu
25850         , 29785                , 1984           , 230            , Benzin        , Automatik      , Apr16         , Okt19
31999         , 23749                , 1984           , 265            , Benzin        , Automatik      , Jan17         , Neu
11450         , 100000               , 1197           , 105            , Benzin        , Automatik      , Mrz13         , Sep19
7650          , 94039                , 1781           , 98             , Benzin        , Schaltgetriebe , Aug91         , Neu
14230         , 75902                , 1968           , 140            , Diesel        , Schaltgetriebe , Dez13         , Dez18
3999          , 200000               , 1896           , 105            , Diesel        , Schaltgetriebe , Nov05         , Feb19
15900         , 80000                , 1968           , 170            , Diesel        , Schaltgetriebe , Sep12         , Neu
16370         , 36000                , 1390           , 122            , Benzin        , Automatik      , Apr13         , Apr18
14690         , 65800                , 1598           , 110            , Diesel        , Schaltgetriebe , Aug15         , Neu
11990         , 63500                , 1598           , 105            , Diesel        , Schaltgetriebe , Nov12         , Neu
21480         , 17000                , 1395           , 150            , Benzin        , Automatik      , Okt15         , Neu
2650          , 205000               , 1896           , 101            , Diesel        , Schaltgetriebe , Aug03         , Nov18
5490          , 57669                , 1390           , 75             , Benzin        , Schaltgetriebe , Dez04         , Dez17
15888         , 94200                , 1984           , 235            , Benzin        , Schaltgetriebe , Dez11         , Feb19
750           , 60000                , 1595           , 101            , Benzin        , Schaltgetriebe , Nov96         , Feb17
6998          , 156891               , 1968           , 110            , Diesel        , Schaltgetriebe , Jul09         , Feb19
1400          , 179000               , 1598           , 105            , Benzin        , Schaltgetriebe , Dez00         , Dez17
8490          , 40300                , 1598           , 102            , Benzin        , Schaltgetriebe , Jun09         , Jul18
4900          , 257425               , 1896           , 105            , Diesel        , Schaltgetriebe , Jun08         , Jun19
3200          , 351500               , 1896           , 105            , Diesel        , Schaltgetriebe , Jun05         , Aug18
27389         , 1650                 , 1197           , 110            , Benzin        , Automatik      , Sep17         , Sep20
27489         , 1650                 , 1395           , 125            , Benzin        , Schaltgetriebe , Sep17         , Sep20
7990          , 86000                , 1390           , 122            , Benzin        , Schaltgetriebe , Dez09         , Neu
7950          , 96591                , 1390           , 122            , Benzin        , Automatik      , Jun10         , Aug18
13990         , 43970                , 1968           , 140            , Diesel        , Schaltgetriebe , Jun12         , Neu
14999         , 79000                , 1984           , 211            , Benzin        , Automatik      , Dez13         , Neu
1990          , 247000               , 1896           , 101            , Diesel        , Schaltgetriebe , Sep03         , Neu
1900          , 213000               , 1781           , 90             , Benzin        , Schaltgetriebe , Apr96         , Aug18
5900          , 96254                , 1598           , 105            , Diesel        , Schaltgetriebe , Mai12         , Mai19
19430         , 24726                , 1598           , 110            , Diesel        , Automatik      , Dez16         , Neu
16490         , 16355                , 1598           , 110            , Diesel        , Schaltgetriebe , Jun16         , Jun18
